ORDER_NO,PRIME_LINE_NO,SUB_LINE_NO,SHIPMENT_NO,SHIPMENT_LINE_KEY,SHIPMENT_KEY,TRACKING_NO,CONTAINER_NO,ITEM_ID,ENTERPRISE_CODE,QUANTITY,DOCUMENT_TYPE
341593930173,1,9003,722239776,202406080403148532807775,202406080403148532807780,1ZW5R9031262953195,90378222,5371639,PB,2,0001
341612256451,1,9000,722425080,202406102338568651675459,202406102338568651675461,1ZW5R9031263113671,90441880,6932328,WS,2,0001
341653535631,2,1,722899210,202406141707328871825809,202406141707328871825811,1Z4E67641250792423,90577237,5154885,PB,2,0001
341653502284,1,1,723121690,202406171847349005749478,202406171847349005749479,1ZB37H661201047006,A00492410,6739036,WE,1,0001
341432086286,7,1,720763106,202405231742427767730502,202405231742427767730503,1ZW412051257653457,89760358,5339873,PB,2,0001
340893236232,2,1,716068093,202404020431515117281402,202404020431515117281406,1ZW412051253727223,87790048,9501052,WS,1,0001
341432705968,2,1,720932419,202405260841287891591349,202405260841287891591350,1Z977E411273965099,T01768802,5454025,PB,1,0001
340083825471,2,1,713134691,202403022131523666670344,202403022131523666670359,1ZW5R9031254964500,86487664,4888456,WS,1,0001
341223308634,6,1,719319430,202405072149216985733791,202405072149216985733826,1ZB37H661200349245,A00380322,7240213,PB,1,0001
341223308634,6,1,719319430,202405072149216985733791,202405072149216985733826,1ZB37H661200349245,A00380322,7240213,PB,1,0001
341402269565,1,1,720857323,202405241458257817950083,202405241458257817950086,1ZW459701262103278,89768703,943640,WS,1,0001
341512870997,11,1,721712416,202406031740068297862581,202406031740068297862583,1Z4E67641289424605,90074899,4166596,PB,1,0001
341683784100,1,1,723127412,202406171939159007201536,202406171939159007201537,1ZW5R9031263891634,90629904,9519323,PB,2,0001
341683340242,2,1,723166440,202406180410599023848085,202406180410599023848087,1ZW459701264242829,90655391,9975922,WE,4,0001
341643330200,1,1,722813253,202406132004428822477195,202406132004428822477196,1ZW412051259414354,90544010,551779,PK,1,0001
341642475279,1,9000,722774894,202406131609108814434831,202406131609108814434832,1Z4E67641250783871,90540116,1554073,PB,1,0001
341213425729,2,1,718884776,202405022108246750720192,202405022108246750720199,1ZW412051255825631,88957773,3065043,MG,1,0001
341213425729,3,1,718884776,202405022108246750720193,202405022108246750720199,1ZW412051255825631,88957773,3065043,MG,1,0001
341052525571,8,1,717432215,202404161634305835949704,202404161634305835949707,1Z4E67641202872981,88301632,4594152,PB,1,0001
340870921848,1,1,717052455,202404120252295622809839,202404120252295622809840,1Z8222V20353227201,W12764258,6319783,WE,59,0001
340870921848,1,1,717051315,202404120149385620299884,202404120149385620299886,1Z8222V20389581903,W12764255,6319783,WE,59,0001
340870921848,1,1,717052455,202404120252295622809839,202404120252295622809840,1Z8222V20353227201,W12764258,6319783,WE,70,0001
340870921848,1,1,717051315,202404120149385620299884,202404120149385620299886,1Z8222V20389581903,W12764255,6319783,WE,70,0001
341692452251,1,9000,723183323,202406180846519033290845,202406180846519033290846,1Z9740X41204629231,K12967667,119401,WE,2,0001
341622273165,3,1,722650763,202406121933348767297362,202406121933348767297363,1ZW5R9031263495938,90448561,2535934,PK,1,0001
341663248043,1,9003,723094973,202406171719209001421264,202406171719209001421266,1ZW459701264123592,90609561,111833,PB,4,0001
341662223898,2,1,723229223,202406181802559057827081,202406181802559057827082,1ZW5R9031263872048,90624022,9451820,RJ,2,0001
341633727415,1,1,722772922,202406131602578814218368,202406131602588814218370,1Z4E67641289522106,90494033,899438,PB,1,0001
340833067374,1,1,715383902,202403252022234766905811,202403252022234766905812,1Z4X525A0301346558,T01308924,3633707,PB,1,0001
340462210360,3,1,715077172,202403212155214587518420,202403212155214587518423,1ZW41205YW53055852,87440251,8708102,WE,2,0001
341692860560,1,1,723167064,202406180413289023972832,202406180413289023972833,1ZW459701264301710,90673626,1577881,WS,1,0001
340670900349,5,1,717050553,202404120142325619875744,202404120142325619875747,1Z8222V21219623964,W12729333,6001455,WE,20,0001
340670900349,5,1,717050665,202404120143155619896990,202404120143155619896991,1Z8222V21253215573,W12729442,6001455,WE,20,0001
340670900349,5,1,717050553,202404120142325619875744,202404120142325619875747,1Z8222V21219623964,W12729333,6001455,WE,32,0001
340670900349,5,1,717050665,202404120143155619896990,202404120143155619896991,1Z8222V21253215573,W12729442,6001455,WE,32,0001
340670900349,4,9001,717051410,202404120154065620530563,202404120154065620530564,1Z8222V21289571488,W12729234,860446,WE,32,0001
340670900349,4,9001,717051410,202404120154065620530563,202404120154065620530564,1Z8222V21289571488,W12729234,860446,WE,20,0001
340613020114,1,1,713114117,202403020620223639968110,202403020620223639968119,1Z96X1671256966772,T01178765,9949063,PB,1,0001
340433834025,2,9000,714611582,202403181254114401600393,202403181254114401600397,1Z9740X40399421384,K12420655,7936671,WE,1,0001
341182218162,1,1,718479882,202404290557486553582814,202404290557486553582815,1ZW459701259629234,88813550,1898443,WS,1,0001
341453126680,3,1,720952586,202405261938357909922668,202405261938357909922671,1ZW412051257832450,89823957,654462,WS,1,0001
341612846715,1,1,722436975,202406110507598666219240,202406110507598666219242,1Z977E410342543897,T01969174,6279676,PB,1,0001
341653282796,1,1,722899219,202406141707348871818814,202406141707348871818816,1Z4E67641203632345,90577192,6400017,PB,1,0001
341133550176,1,1,718182252,202404241824206300971993,202404241824206300971994,1ZW45970YW59174664,88580324,6187522,MG,1,0001
340673957940,3,9003,713907653,202403111049584049964515,202403111049584049964516,1Z8222V21289475109,86862010,2143964,PB,1,0001
341443637622,2,1,720894389,202405242148487830961017,202405242148487830961018,1ZW45970YW62214784,89802119,5712502,WS,1,0001
341652103175,1,1,722899059,202406141706568871802936,202406141706568871802938,1Z4E67641250791737,90567399,6123992,PB,11,0001
341653334217,2,9001,723122735,202406171850469005860709,202406171850469005860710,1Z977E411242585638,T02019549,5302512,RJ,1,0001
341653334217,2,9001,723122735,202406171850469005860709,202406171850469005860710,1Z977E411242585638,T02019549,5302512,RJ,7,0001
340662683556,1,9000,713905313,202403111040494049498728,202403111040494049498732,1Z8222V21253114806,86861583,9053286,PB,1,0001