Error Code,Error Description,Reason
YCM90_001,16605,UNIQUE DESCRIPTION
IDS0025,11056,UNIQUE DESCRIPTION
java.lang.ArithmeticException,7808,UNIQUE DESCRIPTION
java.lang.StringIndexOutOfBoundsException,5886,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0001,5094,UNIQUE DESCRIPTION
org.w3c.dom.DOMException,3108,UNIQUE DESCRIPTION
Service not configured for EOF message,1778,UNIQUE DESCRIPTION
VAS00049,951,UNIQUE DESCRIPTION
IDS0034,320,UNIQUE DESCRIPTION
IDS0034,480,UNIQUE DESCRIPTION
CustomError001,756,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0002,639,UNIQUE DESCRIPTION
java.lang.NullPointerException: PrimarySupplier (Item/PrimaryInformation/@PrimarySupplier)is Mandatory to get Organization Hierarchy Details,525,UNIQUE DESCRIPTION
WSI_FORCE_WO_DELIVERY_ERROR_0002,172,UNIQUE DESCRIPTION
WSI_PAYMENT_PROCESSING_0032,155,UNIQUE DESCRIPTION
YDM00200,134,UNIQUE DESCRIPTION
ContainerNo not provided in FinalMileDeliveryUpdate Message,120,UNIQUE DESCRIPTION
ORA-904,36,UNIQUE DESCRIPTION
OMP11054,18,UNIQUE DESCRIPTION
Received FinalMileDelivery Message should not have Delivery Quantity as '0',12,UNIQUE DESCRIPTION
MEMBERSHIP_FULFILL_0005,2640,UNIQUE DESCRIPTION
WSI_RETURN_ORDER_0018,3063,UNIQUE DESCRIPTION